Date,Cured/Discharged
19-12-2020,4712
20-12-2020,4719
21-12-2020,4732
22-12-2020,4740
23-12-2020,4749
24-12-2020,4761
25-12-2020,4775
26-12-2020,4781
27-12-2020,4789
28-12-2020,4798
29-12-2020,4803
30-12-2020,4811
31-12-2020,4820
03-01-2021,4837
04-01-2021,4846
05-01-2021,4848
06-01-2021,4856
07-01-2021,4859
08-01-2021,4864
09-01-2021,4866
10-01-2021,4873
11-01-2021,4875
12-01-2021,4884
13-01-2021,4886
14-01-2021,4891
15-01-2021,4891
16-01-2021,4895
17-01-2021,4895
18-01-2021,4896
19-01-2021,4897
20-01-2021,4897
21-01-2021,4900
22-01-2021,4904
23-01-2021,4907
24-01-2021,4907
25-01-2021,4908
27-01-2021,4917
28-01-2021,4922
29-01-2021,4924
30-01-2021,4927
31-01-2021,4928
01-02-2021,4928
02-02-2021,4932
03-02-2021,4932
04-02-2021,4932
05-02-2021,4932
06-02-2021,4932
07-02-2021,4932
08-02-2021,4932
09-02-2021,4932
10-02-2021,4932
11-02-2021,4932
12-02-2021,4932
13-02-2021,4934
14-02-2021,4938
15-02-2021,4938
16-02-2021,4938
17-02-2021,4943
18-02-2021,4944
19-02-2021,4944
20-02-2021,4948
21-02-2021,4949
22-02-2021,4949
23-02-2021,4949
24-02-2021,4949
25-02-2021,4950
26-02-2021,4952
27-02-2021,4952
01-03-2021,4952
02-03-2021,4952
03-03-2021,4952
04-03-2021,4952
06-03-2021,4954
07-03-2021,4955
08-03-2021,4955
09-03-2021,4957
10-03-2021,4958
11-03-2021,4960
13-03-2021,4961
14-03-2021,4964
15-03-2021,4964
16-03-2021,4966
17-03-2021,4967
18-03-2021,4967
19-03-2021,4969
20-03-2021,4969
21-03-2021,4969
22-03-2021,4969
23-03-2021,4969
24-03-2021,4972
25-03-2021,4973
27-03-2021,4974
28-03-2021,4975
29-03-2021,4976
30-03-2021,4976
31-03-2021,4976
01-04-2021,4976
02-04-2021,4980
03-04-2021,4981
04-04-2021,4987
05-04-2021,4990
06-04-2021,5001
07-04-2021,5010
08-04-2021,5020
09-04-2021,5027
10-04-2021,5028
11-04-2021,5038
12-04-2021,5040
13-04-2021,5050
14-04-2021,5054
15-04-2021,5078
16-04-2021,5082
17-04-2021,5110
18-04-2021,5146
19-04-2021,5200
20-04-2021,5212
21-04-2021,5243
22-04-2021,5276
23-04-2021,5309
24-04-2021,5358
25-04-2021,5410
26-04-2021,5467
27-04-2021,5520
28-04-2021,5562
29-04-2021,5606
30-04-2021,5643
01-05-2021,5701
02-05-2021,5773
03-05-2021,5798
04-05-2021,5850
05-05-2021,5879
06-05-2021,5928
07-05-2021,5958
08-05-2021,6030
09-05-2021,6056
10-05-2021,6088
11-05-2021,6125
12-05-2021,6149
13-05-2021,6175
14-05-2021,6175
15-05-2021,6213
16-05-2021,6267
17-05-2021,6283
18-05-2021,6329
19-05-2021,6359
20-05-2021,6385
21-05-2021,6401
22-05-2021,6417
23-05-2021,6441
24-05-2021,6473
25-05-2021,6495
26-05-2021,6544
27-05-2021,6573
28-05-2021,6591
30-05-2021,6660
31-05-2021,6683
01-06-2021,6719
02-06-2021,6745
03-06-2021,6781
04-06-2021,6820
05-06-2021,6852
06-06-2021,6876
07-06-2021,6894
08-06-2021,6912
09-06-2021,6935
10-06-2021,6952
11-06-2021,6973
12-03-2020,0
13-03-2020,0
14-03-2020,0
15-03-2020,0
16-03-2020,0
17-03-2020,0
18-03-2020,0
19-03-2020,0
20-03-2020,0
21-03-2020,0
22-03-2020,0
23-03-2020,0
24-03-2020,0
25-03-2020,0
26-03-2020,1
27-03-2020,1
28-03-2020,1
29-03-2020,1
30-03-2020,1
31-03-2020,1
01-04-2020,1
02-04-2020,1
03-04-2020,1
04-04-2020,1
05-04-2020,1
06-04-2020,1
07-04-2020,1
08-04-2020,1
09-04-2020,6
10-04-2020,6
11-04-2020,7
12-04-2020,11
13-04-2020,11
14-04-2020,11
15-04-2020,16
16-04-2020,20
17-04-2020,20
18-04-2020,36
19-04-2020,42
20-04-2020,42
21-04-2020,92
22-04-2020,96
23-04-2020,120
24-04-2020,141
25-04-2020,145
26-04-2020,171
27-04-2020,231
28-04-2020,235
29-04-2020,258
30-04-2020,287
01-05-2020,321
02-05-2020,403
03-05-2020,441
04-05-2020,488
05-05-2020,524
06-05-2020,589
07-05-2020,729
08-05-2020,780
09-05-2020,842
10-05-2020,887
11-05-2020,925
12-05-2020,975
13-05-2020,1056
14-05-2020,1142
15-05-2020,1192
16-05-2020,1252
17-05-2020,1353
18-05-2020,1456
19-05-2020,1552
20-05-2020,1621
21-05-2020,1640
22-05-2020,1709
23-05-2020,1763
24-05-2020,1809
25-05-2020,1856
26-05-2020,1896
27-05-2020,2009
28-05-2020,2057
29-05-2020,2125
30-05-2020,2226
31-05-2020,2289
01-06-2020,2349
02-06-2020,2378
03-06-2020,2421
04-06-2020,2466
05-06-2020,2539
06-06-2020,2576
07-06-2020,2620
08-06-2020,2682
09-06-2020,2745
10-06-2020,2802
11-06-2020,2899
12-06-2020,3048
13-06-2020,3105
14-06-2020,3195
15-06-2020,3314
16-06-2020,3316
17-06-2020,3509
18-06-2020,3641
19-06-2020,3789
20-06-2020,3917
21-06-2020,4111
22-06-2020,4331
23-06-2020,4495
24-06-2020,4599
25-06-2020,4779
26-06-2020,4988
27-06-2020,5196
28-06-2020,5480
29-06-2020,5908
30-06-2020,6232
01-07-2020,6511
02-07-2020,6988
03-07-2020,7313
04-07-2020,7632
05-07-2020,8008
06-07-2020,8422
07-07-2020,8920
08-07-2020,9745
09-07-2020,11101
10-07-2020,12154
11-07-2020,13194
12-07-2020,14393
13-07-2020,15412
14-07-2020,16464
15-07-2020,17467
16-07-2020,18378
17-07-2020,19393
18-07-2020,20298
19-07-2020,21763
20-07-2020,22890
21-07-2020,24228
22-07-2020,25574
23-07-2020,32127
24-07-2020,37555
25-07-2020,39935
26-07-2020,43255
27-07-2020,46301
28-07-2020,49558
29-07-2020,52622
30-07-2020,55406
31-07-2020,60024
01-08-2020,63864
02-08-2020,76614
03-08-2020,82886
04-08-2020,88672
05-08-2020,95625
06-08-2020,104354
07-08-2020,112870
08-08-2020,120464
09-08-2020,129615
10-08-2020,138712
11-08-2020,145636
12-08-2020,154749
13-08-2020,161425
14-08-2020,170984
15-08-2020,180703
16-08-2020,191117
17-08-2020,201234
18-08-2020,209100
19-08-2020,218311
20-08-2020,226372
21-08-2020,235218
22-08-2020,244045
23-08-2020,252638
24-08-2020,260087
25-08-2020,268828
26-08-2020,278247
27-08-2020,286720
28-08-2020,295248
29-08-2020,303711
30-08-2020,312687
31-08-2020,321754
01-09-2020,330526
02-09-2020,339876
03-09-2020,348330
04-09-2020,358009
05-09-2020,370163
06-09-2020,382104
07-09-2020,394019
08-09-2020,404074
09-09-2020,415765
10-09-2020,425607
11-09-2020,435647
12-09-2020,446716
13-09-2020,457008
14-09-2020,467139
15-09-2020,476903
16-09-2020,486531
17-09-2020,497376
18-09-2020,508088
19-09-2020,519891
20-09-2020,530711
21-09-2020,541319
22-09-2020,551821
23-09-2020,562376
24-09-2020,570667
25-09-2020,579474
26-09-2020,588169
27-09-2020,597294
28-09-2020,605090
29-09-2020,612300
30-09-2020,622136
01-10-2020,629211
02-10-2020,636508
03-10-2020,643993
04-10-2020,651791
05-10-2020,658875
06-10-2020,666433
07-10-2020,672479
08-10-2020,678828
09-10-2020,684930
10-10-2020,691040
11-10-2020,697699
12-10-2020,703208
13-10-2020,708712
14-10-2020,714427
15-10-2020,719477
16-10-2020,725099
17-10-2020,730109
18-10-2020,735638
19-10-2020,740229
20-10-2020,744532
21-10-2020,749676
22-10-2020,754415
23-10-2020,758138
24-10-2020,762419
25-10-2020,765991
26-10-2020,769576
27-10-2020,773548
28-10-2020,777900
29-10-2020,781509
30-10-2020,784752
31-10-2020,788375
01-11-2020,792083
02-11-2020,795592
03-11-2020,798625
04-11-2020,802325
05-11-2020,805026
06-11-2020,807318
07-11-2020,809770
08-11-2020,812517
09-11-2020,814773
10-11-2020,816322
11-11-2020,818473
12-11-2020,820234
13-11-2020,822011
14-11-2020,824189
15-11-2020,826344
16-11-2020,828484
17-11-2020,829991
18-11-2020,832284
19-11-2020,833980
20-11-2020,835801
21-11-2020,837630
22-11-2020,839395
23-11-2020,841026
24-11-2020,842416
25-11-2020,843863
26-11-2020,845039
27-11-2020,846120
28-11-2020,847325
29-11-2020,848511
30-11-2020,852298
01-12-2020,853232
02-12-2020,854326
03-12-2020,855485
04-12-2020,856320
05-12-2020,857233
06-12-2020,858115
07-12-2020,859029
08-12-2020,859624
09-12-2020,860368
10-12-2020,861153
11-12-2020,861711
12-12-2020,862230
13-12-2020,862895
14-12-2020,863508
15-12-2020,864049
17-12-2020,865327
18-12-2020,865825
19-12-2020,866359
20-12-2020,866856
21-12-2020,867445
22-12-2020,867867
23-12-2020,868279
24-12-2020,868769
25-12-2020,869124
26-12-2020,869478
27-12-2020,869920
28-12-2020,870342
29-12-2020,870752
30-12-2020,871116
31-12-2020,871588
03-01-2021,872545
04-01-2021,872897
05-01-2021,873149
06-01-2021,873427
07-01-2021,873855
08-01-2021,874223
09-01-2021,874531
10-01-2021,874954
11-01-2021,875243
12-01-2021,875456
13-01-2021,875690
14-01-2021,875921
15-01-2021,876140
16-01-2021,876372
17-01-2021,876698
18-01-2021,876949
19-01-2021,877212
20-01-2021,877443
21-01-2021,877639
22-01-2021,877893
23-01-2021,878060
24-01-2021,878232
25-01-2021,878387
27-01-2021,878731
28-01-2021,878828
29-01-2021,878956
30-01-2021,879131
31-01-2021,879278
01-02-2021,879405
02-02-2021,879504
03-02-2021,879651
04-02-2021,879780
05-02-2021,879867
06-02-2021,880046
07-02-2021,880179
08-02-2021,880261
09-02-2021,880363
10-02-2021,880478
11-02-2021,880599
12-02-2021,880678
13-02-2021,880784
14-02-2021,880855
15-02-2021,880972
16-02-2021,881041
17-02-2021,881181
18-02-2021,881238
19-02-2021,881292
20-02-2021,881369
21-02-2021,881439
22-02-2021,881511
23-02-2021,881582
24-02-2021,881666
25-02-2021,881732
26-02-2021,881806
27-02-2021,881877
01-03-2021,882029
02-03-2021,882080
03-03-2021,882137
04-03-2021,882219
06-03-2021,882369
07-03-2021,882462
08-03-2021,882520
09-03-2021,882581
10-03-2021,882670
11-03-2021,882763
13-03-2021,882981
14-03-2021,883113
15-03-2021,883277
16-03-2021,883380
17-03-2021,883505
18-03-2021,883642
19-03-2021,883759
20-03-2021,883890
21-03-2021,884094
22-03-2021,884357
23-03-2021,884471
24-03-2021,884727
25-03-2021,884978
27-03-2021,885515
28-03-2021,885892
29-03-2021,886216
30-03-2021,886498
31-03-2021,886978
01-04-2021,887434
02-04-2021,887898
03-04-2021,888508
04-04-2021,889295
05-04-2021,890137
06-04-2021,891048
07-04-2021,891883
08-04-2021,892736
09-04-2021,893651
10-04-2021,894896
11-04-2021,895949
12-04-2021,897147
13-04-2021,898238
14-04-2021,899721
15-04-2021,901327
16-04-2021,903072
17-04-2021,905266
18-04-2021,907598
19-04-2021,909941
20-04-2021,912510
21-04-2021,915626
22-04-2021,918985
23-04-2021,922977
24-04-2021,927418
25-04-2021,931839
26-04-2021,936143
27-04-2021,940574
28-04-2021,947629
29-04-2021,954062
30-04-2021,962250
01-05-2021,970718
02-05-2021,982297
03-05-2021,993708
04-05-2021,1003935
05-05-2021,1016142
06-05-2021,1027270
07-05-2021,1037411
08-05-2021,1050160
09-05-2021,1069432
10-05-2021,1088264
11-05-2021,1104431
12-05-2021,1118933
13-05-2021,1138028
14-05-2021,1138028
15-05-2021,1156666
16-05-2021,1194582
17-05-2021,1215683
18-05-2021,1233017
19-05-2021,1254291
20-05-2021,1279110
21-05-2021,1302208
22-05-2021,1323019
23-05-2021,1341355
24-05-2021,1361464
25-05-2021,1379837
26-05-2021,1400754
27-05-2021,1424859
28-05-2021,1446244
30-05-2021,1487382
31-05-2021,1508515
01-06-2021,1528360
02-06-2021,1546617
03-06-2021,1562229
04-06-2021,1578452
05-06-2021,1593921
06-06-2021,1609879
07-06-2021,1623447
08-06-2021,1637149
09-06-2021,1651790
10-06-2021,1664082
11-06-2021,1677063
03-04-2020,0
04-04-2020,0
05-04-2020,0
06-04-2020,0
07-04-2020,0
08-04-2020,0
09-04-2020,0
10-04-2020,0
11-04-2020,0
12-04-2020,0
13-04-2020,0
14-04-2020,0
15-04-2020,0
16-04-2020,0
17-04-2020,0
18-04-2020,0
19-04-2020,0
20-04-2020,0
21-04-2020,0
22-04-2020,1
23-04-2020,1
24-04-2020,1
25-04-2020,1
26-04-2020,1
27-04-2020,1
28-04-2020,1
29-04-2020,1
30-04-2020,1
01-05-2020,1
02-05-2020,1
03-05-2020,1
04-05-2020,1
05-05-2020,1
06-05-2020,1
07-05-2020,1
08-05-2020,1
09-05-2020,1
10-05-2020,1
11-05-2020,1
12-05-2020,1
13-05-2020,1
14-05-2020,1
15-05-2020,1
16-05-2020,1
17-05-2020,1
18-05-2020,1
19-05-2020,1
20-05-2020,1
21-05-2020,1
22-05-2020,1
23-05-2020,1
24-05-2020,1
25-05-2020,1
26-05-2020,1
27-05-2020,1
28-05-2020,1
29-05-2020,1
30-05-2020,1
31-05-2020,1
01-06-2020,1
02-06-2020,1
03-06-2020,1
