Date,Confirmed_Cases
24-07-2020,240
25-07-2020,259
26-07-2020,290
27-07-2020,324
28-07-2020,338
29-07-2020,363
30-07-2020,428
31-07-2020,471
01-08-2020,548
02-08-2020,636
03-08-2020,734
04-08-2020,830
05-08-2020,928
06-08-2020,1027
07-08-2020,1123
08-08-2020,1222
09-08-2020,1351
10-08-2020,1490
11-08-2020,1625
12-08-2020,1764
13-08-2020,1900
14-08-2020,2037
15-08-2020,2186
16-08-2020,2306
17-08-2020,2399
18-08-2020,2445
19-08-2020,2529
20-08-2020,2604
21-08-2020,2680
22-08-2020,2747
23-08-2020,2808
24-08-2020,2860
25-08-2020,2904
26-08-2020,2945
27-08-2020,2985
28-08-2020,3018
29-08-2020,3050
30-08-2020,3081
31-08-2020,3104
01-09-2020,3132
02-09-2020,3160
03-09-2020,3186
04-09-2020,3223
05-09-2020,3257
06-09-2020,3292
07-09-2020,3332
08-09-2020,3359
09-09-2020,3392
10-09-2020,3426
11-09-2020,3465
12-09-2020,3494
13-09-2020,3521
14-09-2020,3546
15-09-2020,3557
16-09-2020,3574
17-09-2020,3593
18-09-2020,3604
19-09-2020,3631
20-09-2020,3644
21-09-2020,3651
22-09-2020,3673
23-09-2020,3691
24-09-2020,3712
25-09-2020,3744
26-09-2020,3759
27-09-2020,3774
28-09-2020,3794
29-09-2020,3803
30-09-2020,3821
01-10-2020,3835
02-10-2020,3848
03-10-2020,3858
04-10-2020,3868
05-10-2020,3884
06-10-2020,3899
07-10-2020,3912
08-10-2020,3935
09-10-2020,3952
10-10-2020,3976
11-10-2020,3992
12-10-2020,4005
13-10-2020,4023
14-10-2020,4036
15-10-2020,4046
16-10-2020,4062
17-10-2020,4072
18-10-2020,4083
19-10-2020,4108
20-10-2020,4126
21-10-2020,4141
22-10-2020,4168
23-10-2020,4184
24-10-2020,4207
25-10-2020,4225
26-10-2020,4245
27-10-2020,4253
28-10-2020,4274
29-10-2020,4289
30-10-2020,4305
31-10-2020,4317
01-11-2020,4332
02-11-2020,4340
03-11-2020,4352
04-11-2020,4372
05-11-2020,4389
06-11-2020,4403
07-11-2020,4420
08-11-2020,4441
09-11-2020,4450
10-11-2020,4463
11-11-2020,4477
12-11-2020,4494
13-11-2020,4507
14-11-2020,4518
15-11-2020,4527
16-11-2020,4536
17-11-2020,4557
18-11-2020,4574
19-11-2020,4593
20-11-2020,4604
21-11-2020,4617
22-11-2020,4631
23-11-2020,4641
24-11-2020,4656
25-11-2020,4667
26-11-2020,4677
27-11-2020,4682
28-11-2020,4689
29-11-2020,4698
30-11-2020,4704
01-12-2020,4710
02-12-2020,4718
03-12-2020,4723
04-12-2020,4729
05-12-2020,4742
06-12-2020,4747
07-12-2020,4758
08-12-2020,4773
09-12-2020,4778
10-12-2020,4783
11-12-2020,4791
12-12-2020,4798
13-12-2020,4805
14-12-2020,4818
15-12-2020,4834
17-12-2020,4850
18-12-2020,4860
19-12-2020,4869
20-12-2020,4875
21-12-2020,4881
22-12-2020,4888
23-12-2020,4893
24-12-2020,4896
25-12-2020,4901
26-12-2020,4912
27-12-2020,4912
28-12-2020,4924
29-12-2020,4929
30-12-2020,4936
31-12-2020,4941
03-01-2021,4947
04-01-2021,4948
05-01-2021,4948
06-01-2021,4949
07-01-2021,4949
08-01-2021,4958
09-01-2021,4959
10-01-2021,4959
11-01-2021,4960
12-01-2021,4963
13-01-2021,4966
14-01-2021,4969
15-01-2021,4976
16-01-2021,4979
17-01-2021,4982
18-01-2021,4983
19-01-2021,4988
20-01-2021,4989
21-01-2021,4991
22-01-2021,4991
23-01-2021,4992
24-01-2021,4993
25-01-2021,4993
27-01-2021,4994
28-01-2021,4994
29-01-2021,4994
30-01-2021,4994
31-01-2021,4994
01-02-2021,4994
02-02-2021,4994
03-02-2021,4994
04-02-2021,4994
05-02-2021,4994
06-02-2021,4997
07-02-2021,5000
08-02-2021,5001
09-02-2021,5005
10-02-2021,5007
11-02-2021,5007
12-02-2021,5007
13-02-2021,5007
14-02-2021,5009
15-02-2021,5009
16-02-2021,5009
17-02-2021,5013
18-02-2021,5014
19-02-2021,5014
20-02-2021,5014
21-02-2021,5014
22-02-2021,5014
23-02-2021,5015
24-02-2021,5016
25-02-2021,5016
26-02-2021,5016
27-02-2021,5017
01-03-2021,5020
02-03-2021,5020
03-03-2021,5020
04-03-2021,5022
06-03-2021,5024
07-03-2021,5024
08-03-2021,5024
09-03-2021,5026
10-03-2021,5028
11-03-2021,5028
13-03-2021,5029
14-03-2021,5030
15-03-2021,5031
16-03-2021,5031
17-03-2021,5032
18-03-2021,5035
19-03-2021,5036
20-03-2021,5038
21-03-2021,5038
22-03-2021,5039
23-03-2021,5039
24-03-2021,5039
25-03-2021,5041
27-03-2021,5043
28-03-2021,5044
29-03-2021,5046
30-03-2021,5052
31-03-2021,5081
01-04-2021,5083
02-04-2021,5084
03-04-2021,5084
04-04-2021,5098
05-04-2021,5109
06-04-2021,5116
07-04-2021,5123
08-04-2021,5131
09-04-2021,5149
10-04-2021,5161
11-04-2021,5175
12-04-2021,5190
13-04-2021,5201
14-04-2021,5209
15-04-2021,5247
16-04-2021,5262
17-04-2021,5289
18-04-2021,5331
19-04-2021,5390
20-04-2021,5421
21-04-2021,5466
22-04-2021,5490
23-04-2021,5527
24-04-2021,5569
25-04-2021,5614
26-04-2021,5665
27-04-2021,5716
28-04-2021,5764
29-04-2021,5816
30-04-2021,5875
01-05-2021,5949
02-05-2021,6046
03-05-2021,6084
04-05-2021,6150
05-05-2021,6181
06-05-2021,6223
07-05-2021,6255
08-05-2021,6311
09-05-2021,6341
10-05-2021,6367
11-05-2021,6398
12-05-2021,6426
13-05-2021,6470
14-05-2021,6470
15-05-2021,6510
16-05-2021,6568
17-05-2021,6603
18-05-2021,6638
19-05-2021,6674
20-05-2021,6709
21-05-2021,6758
22-05-2021,6789
23-05-2021,6820
